0,Territorio Nacional,9652,8874,752529,PS,0,38.29,40.22,147993,94,106
0,Territorio Nacional,9652,8874,752529,PPD/PSD,0,33.28,34.95,128624,81,77
0,Territorio Nacional,9652,8874,752529,B.E.,0,6.81,7.15,26307,16,19
0,Territorio Nacional,9652,8874,752529,CDS-PP,0,4.9,5.14,18923,12,5
0,Territorio Nacional,9652,8874,752529,PCP-PEV,0,4.59,4.83,17757,11,12
0,Territorio Nacional,9652,8874,752529,PAN,0,1.76,1.84,6786,4,4
0,Territorio Nacional,9652,8874,752529,CH,0,0.95,0.99,3659,2,1
0,Territorio Nacional,9652,8874,752529,R.I.R.,0,0.88,0.93,3412,2,0
0,Territorio Nacional,9652,8874,752529,PCTP/MRPP,0,0.66,0.7,2567,1,0
0,Territorio Nacional,9652,8874,752529,A,0,0.48,0.51,1870,1,0
0,Territorio Nacional,9652,8874,752529,L,0,0.48,0.51,1872,1,1
0,Territorio Nacional,9652,8874,752529,IL,0,0.44,0.47,1715,1,1
0,Territorio Nacional,9652,8874,752529,JPP,0,0.32,0.34,1236,0,0
0,Territorio Nacional,9652,8874,752529,NC,0,0.21,0.22,794,0,0
0,Territorio Nacional,9652,8874,752529,PDR,0,0.21,0.22,795,0,0
0,Territorio Nacional,9652,8874,752529,PNR,0,0.21,0.22,803,0,0
0,Territorio Nacional,9652,8874,752529,PURP,0,0.19,0.2,740,0,0
0,Territorio Nacional,9652,8874,752529,PPM,0,0.18,0.19,706,0,0
0,Territorio Nacional,9652,8874,752529,MPT,0,0.17,0.17,642,0,0
0,Territorio Nacional,9652,8874,752529,PTP,0,0.17,0.18,674,0,0
0,Territorio Nacional,9652,8874,752529,MAS,0,0.02,0.03,96,0,0
0,Aveiro,186,101,11953,PPD/PSD,0,37.75,39.53,2405,7,6
0,Aveiro,186,101,11953,PS,0,34.33,35.95,2187,7,7
0,Aveiro,186,101,11953,B.E.,0,7.47,7.82,476,1,2
0,Aveiro,186,101,11953,CDS-PP,0,6.14,6.43,391,1,1
0,Aveiro,186,101,11953,PCP-PEV,0,2.39,2.5,152,0,0
0,Aveiro,186,101,11953,PAN,0,2.04,2.14,130,0,0
0,Aveiro,186,101,11953,R.I.R.,0,1.62,1.69,103,0,0
0,Aveiro,186,101,11953,PCTP/MRPP,0,0.58,0.61,37,0,0
0,Aveiro,186,101,11953,CH,0,0.57,0.59,36,0,0
0,Aveiro,186,101,11953,IL,0,0.55,0.58,35,0,0
0,Aveiro,186,101,11953,A,0,0.39,0.41,25,0,0
0,Aveiro,186,101,11953,L,0,0.39,0.41,25,0,0
0,Aveiro,186,101,11953,PNR,0,0.3,0.31,19,0,0
0,Aveiro,186,101,11953,PPM,0,0.24,0.25,15,0,0
0,Aveiro,186,101,11953,PURP,0,0.19,0.2,12,0,0
0,Aveiro,186,101,11953,NC,0,0.17,0.18,11,0,0
0,Aveiro,186,101,11953,PTP,0,0.13,0.13,8,0,0
0,Aveiro,186,101,11953,MPT,0,0.11,0.12,7,0,0
0,Aveiro,186,101,11953,JPP,0,0.09,0.1,6,0,0
0,Aveiro,186,101,11953,PDR,0,0.06,0.07,4,0,0
0,Beja,125,136,14136,PS,0,46.06,47.75,3401,2,2
0,Beja,125,136,14136,PCP-PEV,0,24.61,25.51,1817,1,1
0,Beja,125,136,14136,PPD/PSD,0,10.1,10.47,746,0,0
0,Beja,125,136,14136,B.E.,0,7.35,7.62,543,0,0
0,Beja,125,136,14136,PCTP/MRPP,0,1.83,1.9,135,0,0
0,Beja,125,136,14136,CDS-PP,0,1.75,1.81,129,0,0
0,Beja,125,136,14136,CH,0,1.34,1.39,99,0,0
0,Beja,125,136,14136,PAN,0,1.27,1.32,94,0,0
0,Beja,125,136,14136,L,0,0.46,0.48,34,0,0
0,Beja,125,136,14136,IL,0,0.39,0.41,29,0,0
0,Beja,125,136,14136,A,0,0.3,0.31,22,0,0
0,Beja,125,136,14136,MPT,0,0.27,0.28,20,0,0
0,Beja,125,136,14136,PDR,0,0.2,0.21,15,0,0
0,Beja,125,136,14136,PNR,0,0.16,0.17,12,0,0
0,Beja,125,136,14136,PPM,0,0.14,0.14,10,0,0
0,Beja,125,136,14136,PTP,0,0.12,0.13,9,0,0
0,Beja,125,136,14136,NC,0,0.11,0.11,8,0,0
0,Braga,888,1029,53691,PS,0,37.4,39.89,11477,9,8
0,Braga,888,1029,53691,PPD/PSD,0,37.09,39.57,11384,8,8
0,Braga,888,1029,53691,B.E.,0,5.98,6.38,1835,1,2
0,Braga,888,1029,53691,CDS-PP,0,4.31,4.6,1323,1,1
0,Braga,888,1029,53691,PCP-PEV,0,2.56,2.74,787,0,0
0,Braga,888,1029,53691,PAN,0,1.85,1.98,569,0,0
0,Braga,888,1029,53691,R.I.R.,0,0.84,0.9,258,0,0
0,Braga,888,1029,53691,CH,0,0.61,0.65,188,0,0
0,Braga,888,1029,53691,IL,0,0.5,0.53,152,0,0
0,Braga,888,1029,53691,A,0,0.49,0.52,149,0,0
0,Braga,888,1029,53691,PCTP/MRPP,0,0.48,0.51,146,0,0
0,Braga,888,1029,53691,L,0,0.45,0.48,138,0,0
0,Braga,888,1029,53691,MPT,0,0.24,0.26,74,0,0
0,Braga,888,1029,53691,NC,0,0.2,0.21,61,0,0
0,Braga,888,1029,53691,PDR,0,0.17,0.18,51,0,0
0,Braga,888,1029,53691,PNR,0,0.17,0.18,51,0,0
0,Braga,888,1029,53691,JPP,0,0.11,0.11,33,0,0
0,Braga,888,1029,53691,PTP,0,0.11,0.12,34,0,0
0,Braga,888,1029,53691,PPM,0,0.1,0.1,30,0,0
0,Braga,888,1029,53691,MAS,0,0.06,0.06,17,0,0
0,Braga,888,1029,53691,PURP,0,0.05,0.05,15,0,0
0,Bragansa,268,323,32796,PPD/PSD,0,42.78,44.66,6017,2,2
0,Bragansa,268,323,32796,PS,0,36.63,38.23,5151,1,1
0,Bragansa,268,323,32796,B.E.,0,5.01,5.23,704,0,0
0,Bragansa,268,323,32796,CDS-PP,0,4.79,5,674,0,0
0,Bragansa,268,323,32796,PCP-PEV,0,1.62,1.69,228,0,0
0,Bragansa,268,323,32796,PAN,0,0.92,0.96,129,0,0
0,Bragansa,268,323,32796,R.I.R.,0,0.68,0.71,96,0,0
0,Bragansa,268,323,32796,CH,0,0.64,0.67,90,0,0
0,Bragansa,268,323,32796,PCTP/MRPP,0,0.59,0.62,83,0,0
0,Bragansa,268,323,32796,L,0,0.38,0.39,53,0,0
0,Bragansa,268,323,32796,A,0,0.33,0.34,46,0,0
0,Bragansa,268,323,32796,IL,0,0.28,0.3,40,0,0
0,Bragansa,268,323,32796,PDR,0,0.23,0.24,33,0,0
0,Bragansa,268,323,32796,PURP,0,0.23,0.24,33,0,0
0,Bragansa,268,323,32796,PTP,0,0.19,0.2,27,0,0
0,Bragansa,268,323,32796,NC,0,0.18,0.19,26,0,0
0,Bragansa,268,323,32796,PNR,0,0.17,0.18,24,0,0
0,Bragansa,268,323,32796,PPM,0,0.14,0.14,19,0,0
0,Castelo Branco,593,740,47149,PS,0,43.57,46.01,10926,3,3
0,Castelo Branco,593,740,47149,PPD/PSD,0,26.96,28.47,6760,1,1
0,Castelo Branco,593,740,47149,B.E.,0,8.75,9.24,2194,0,0
0,Castelo Branco,593,740,47149,CDS-PP,0,3.96,4.18,993,0,0
0,Castelo Branco,593,740,47149,PCP-PEV,0,3.9,4.11,977,0,0
0,Castelo Branco,593,740,47149,PAN,0,1.96,2.07,492,0,0
0,Castelo Branco,593,740,47149,CH,0,1.14,1.21,287,0,0
0,Castelo Branco,593,740,47149,PCTP/MRPP,0,0.84,0.89,211,0,0
0,Castelo Branco,593,740,47149,R.I.R.,0,0.66,0.7,166,0,0
0,Castelo Branco,593,740,47149,L,0,0.62,0.65,155,0,0
0,Castelo Branco,593,740,47149,A,0,0.54,0.57,135,0,0
0,Castelo Branco,593,740,47149,PURP,0,0.41,0.43,102,0,0
0,Castelo Branco,593,740,47149,IL,0,0.35,0.37,87,0,0
0,Castelo Branco,593,740,47149,PPM,0,0.24,0.26,61,0,0
0,Castelo Branco,593,740,47149,PNR,0,0.22,0.24,56,0,0
0,Castelo Branco,593,740,47149,PTP,0,0.22,0.23,55,0,0
0,Castelo Branco,593,740,47149,MPT,0,0.2,0.21,51,0,0
0,Castelo Branco,593,740,47149,PDR,0,0.15,0.16,37,0,0
0,Coimbra,376,284,20899,PS,0,43.75,46.62,4694,5,5
0,Coimbra,376,284,20899,PPD/PSD,0,29.07,30.98,3119,3,3
0,Coimbra,376,284,20899,B.E.,0,7.78,8.29,835,1,1
0,Coimbra,376,284,20899,CDS-PP,0,3.52,3.75,378,0,0
0,Coimbra,376,284,20899,PCP-PEV,0,3.37,3.59,361,0,0
0,Coimbra,376,284,20899,PAN,0,1.61,1.72,173,0,0
0,Coimbra,376,284,20899,CH,0,0.75,0.79,80,0,0
0,Coimbra,376,284,20899,A,0,0.7,0.74,75,0,0
0,Coimbra,376,284,20899,R.I.R.,0,0.7,0.74,75,0,0
0,Coimbra,376,284,20899,L,0,0.55,0.59,59,0,0
0,Coimbra,376,284,20899,PCTP/MRPP,0,0.48,0.52,52,0,0
0,Coimbra,376,284,20899,IL,0,0.28,0.3,30,0,0
0,Coimbra,376,284,20899,PNR,0,0.28,0.3,30,0,0
0,Coimbra,376,284,20899,PDR,0,0.24,0.26,26,0,0
0,Coimbra,376,284,20899,PURP,0,0.18,0.19,19,0,0
0,Coimbra,376,284,20899,MAS,0,0.17,0.18,18,0,0
0,Coimbra,376,284,20899,NC,0,0.13,0.14,14,0,0
0,Coimbra,376,284,20899,MPT,0,0.1,0.11,11,0,0
0,Coimbra,376,284,20899,PPM,0,0.09,0.1,10,0,0
0,Coimbra,376,284,20899,JPP,0,0.08,0.09,9,0,0
0,Avora,138,108,14494,PS,0,44.48,45.89,3577,2,2
0,Avora,138,108,14494,PCP-PEV,0,20.41,21.05,1641,1,1
0,Avora,138,108,14494,PPD/PSD,0,14.08,14.52,1132,0,0
0,Avora,138,108,14494,B.E.,0,7.98,8.24,642,0,0
0,Avora,138,108,14494,CDS-PP,0,2.47,2.55,199,0,0
0,Avora,138,108,14494,CH,0,1.73,1.78,139,0,0
0,Avora,138,108,14494,PCTP/MRPP,0,1.38,1.42,111,0,0
0,Avora,138,108,14494,PAN,0,1.11,1.14,89,0,0
0,Avora,138,108,14494,NC,0,0.77,0.8,62,0,0
0,Avora,138,108,14494,A,0,0.46,0.47,37,0,0
0,Avora,138,108,14494,R.I.R.,0,0.46,0.47,37,0,0
0,Avora,138,108,14494,L,0,0.36,0.37,29,0,0
0,Avora,138,108,14494,IL,0,0.3,0.31,24,0,0
0,Avora,138,108,14494,PNR,0,0.22,0.23,18,0,0
0,Avora,138,108,14494,MPT,0,0.16,0.17,13,0,0
0,Avora,138,108,14494,PDR,0,0.15,0.15,12,0,0
0,Avora,138,108,14494,PPM,0,0.15,0.15,12,0,0
0,Avora,138,108,14494,PURP,0,0.14,0.14,11,0,0
0,Avora,138,108,14494,PTP,0,0.12,0.13,10,0,0
0,Faro,239,149,14071,PS,0,42.78,45.17,3140,5,5
0,Faro,239,149,14071,PPD/PSD,0,22.22,23.46,1631,3,3
0,Faro,239,149,14071,B.E.,0,10.4,10.98,763,1,1
0,Faro,239,149,14071,PCP-PEV,0,6.2,6.54,455,0,0
0,Faro,239,149,14071,CDS-PP,0,3.8,4.01,279,0,0
0,Faro,239,149,14071,PAN,0,3,3.16,220,0,0
0,Faro,239,149,14071,CH,0,1.57,1.65,115,0,0
0,Faro,239,149,14071,PCTP/MRPP,0,0.68,0.72,50,0,0
0,Faro,239,149,14071,L,0,0.65,0.69,48,0,0
0,Faro,239,149,14071,R.I.R.,0,0.6,0.63,44,0,0
0,Faro,239,149,14071,A,0,0.48,0.5,35,0,0
0,Faro,239,149,14071,NC,0,0.45,0.47,33,0,0
0,Faro,239,149,14071,IL,0,0.41,0.43,30,0,0
0,Faro,239,149,14071,PPM,0,0.31,0.33,23,0,0
0,Faro,239,149,14071,MPT,0,0.27,0.29,20,0,0
0,Faro,239,149,14071,PURP,0,0.27,0.29,20,0,0
0,Faro,239,149,14071,PNR,0,0.26,0.27,19,0,0
0,Faro,239,149,14071,PTP,0,0.19,0.2,14,0,0
0,Faro,239,149,14071,PDR,0,0.18,0.19,13,0,0
0,Guarda,735,828,60818,PPD/PSD,0,37.53,39.63,11070,2,1
0,Guarda,735,828,60818,PS,0,37.24,39.32,10983,1,2
0,Guarda,735,828,60818,B.E.,0,6,6.34,1770,0,0
0,Guarda,735,828,60818,CDS-PP,0,5.58,5.9,1647,0,0
0,Guarda,735,828,60818,PCP-PEV,0,2.27,2.4,670,0,0
0,Guarda,735,828,60818,PAN,0,1.27,1.34,375,0,0
0,Guarda,735,828,60818,CH,0,1.11,1.17,328,0,0
0,Guarda,735,828,60818,R.I.R.,0,0.66,0.7,196,0,0
0,Guarda,735,828,60818,IL,0,0.51,0.54,151,0,0
0,Guarda,735,828,60818,PCTP/MRPP,0,0.46,0.48,135,0,0
0,Guarda,735,828,60818,A,0,0.41,0.44,122,0,0
0,Guarda,735,828,60818,L,0,0.39,0.41,115,0,0
0,Guarda,735,828,60818,PTP,0,0.29,0.3,85,0,0
0,Guarda,735,828,60818,PNR,0,0.22,0.23,65,0,0
0,Guarda,735,828,60818,PURP,0,0.19,0.2,55,0,0
0,Guarda,735,828,60818,NC,0,0.18,0.19,53,0,0
0,Guarda,735,828,60818,MPT,0,0.16,0.17,48,0,0
0,Guarda,735,828,60818,PDR,0,0.13,0.13,37,0,0
0,Guarda,735,828,60818,PPM,0,0.09,0.09,26,0,0
0,Leiria,291,176,13439,PPD/PSD,0,48.23,51.42,3627,7,5
0,Leiria,291,176,13439,PS,0,22.38,23.86,1683,3,4
0,Leiria,291,176,13439,CDS-PP,0,6.74,7.19,507,0,0
0,Leiria,291,176,13439,B.E.,0,5.89,6.28,443,0,1
0,Leiria,291,176,13439,PAN,0,2.29,2.44,172,0,0
0,Leiria,291,176,13439,CH,0,1.42,1.52,107,0,0
0,Leiria,291,176,13439,PCP-PEV,0,1.36,1.45,102,0,0
0,Leiria,291,176,13439,IL,0,1.01,1.08,76,0,0
0,Leiria,291,176,13439,R.I.R.,0,0.88,0.94,66,0,0
0,Leiria,291,176,13439,A,0,0.84,0.89,63,0,0
0,Leiria,291,176,13439,L,0,0.69,0.74,52,0,0
0,Leiria,291,176,13439,PCTP/MRPP,0,0.36,0.38,27,0,0
0,Leiria,291,176,13439,NC,0,0.25,0.27,19,0,0
0,Leiria,291,176,13439,MPT,0,0.23,0.24,17,0,0
0,Leiria,291,176,13439,PPM,0,0.23,0.24,17,0,0
0,Leiria,291,176,13439,PDR,0,0.2,0.21,15,0,0
0,Leiria,291,176,13439,PNR,0,0.2,0.21,15,0,0
0,Leiria,291,176,13439,PURP,0,0.2,0.21,15,0,0
0,Leiria,291,176,13439,PTP,0,0.19,0.2,14,0,0
0,Leiria,291,176,13439,JPP,0,0.12,0.13,9,0,0
0,Leiria,291,176,13439,MAS,0,0.09,0.1,7,0,0
0,Lisboa,127,114,8265,PS,0,34.64,36.57,1584,20,20
0,Lisboa,127,114,8265,PPD/PSD,0,29.19,30.82,1335,17,12
0,Lisboa,127,114,8265,B.E.,0,7.78,8.22,356,4,5
0,Lisboa,127,114,8265,PCP-PEV,0,5.69,6,260,3,4
0,Lisboa,127,114,8265,CDS-PP,0,5.49,5.79,251,3,2
0,Lisboa,127,114,8265,PAN,0,3.26,3.44,149,1,2
0,Lisboa,127,114,8265,CH,0,1.64,1.73,75,0,1
0,Lisboa,127,114,8265,R.I.R.,0,1.29,1.36,59,0,0
0,Lisboa,127,114,8265,L,0,1.05,1.11,48,0,1
0,Lisboa,127,114,8265,PCTP/MRPP,0,1.05,1.11,48,0,0
0,Lisboa,127,114,8265,A,0,0.98,1.04,45,0,0
0,Lisboa,127,114,8265,IL,0,0.7,0.74,32,0,1
0,Lisboa,127,114,8265,PNR,0,0.5,0.53,23,0,0
0,Lisboa,127,114,8265,MPT,0,0.28,0.3,13,0,0
0,Lisboa,127,114,8265,PPM,0,0.28,0.3,13,0,0
0,Lisboa,127,114,8265,PDR,0,0.26,0.28,12,0,0
0,Lisboa,127,114,8265,PTP,0,0.22,0.23,10,0,0
0,Lisboa,127,114,8265,MAS,0,0.17,0.18,8,0,0
0,Lisboa,127,114,8265,PURP,0,0.15,0.16,7,0,0
0,Lisboa,127,114,8265,NC,0,0.09,0.09,4,0,0
0,Madeira,19,60,6848,PPD/PSD,0,49.11,50.35,1570,4,3
0,Madeira,19,60,6848,PS,0,26.96,27.65,862,2,3
0,Madeira,19,60,6848,CDS-PP,0,11.01,11.29,352,0,0
0,Madeira,19,60,6848,B.E.,0,2.82,2.89,90,0,0
0,Madeira,19,60,6848,JPP,0,1.25,1.28,40,0,0
0,Madeira,19,60,6848,R.I.R.,0,0.88,0.9,28,0,0
0,Madeira,19,60,6848,PCP-PEV,0,0.78,0.8,25,0,0
0,Madeira,19,60,6848,PTP,0,0.66,0.67,21,0,0
0,Madeira,19,60,6848,PCTP/MRPP,0,0.63,0.64,20,0,0
0,Madeira,19,60,6848,PAN,0,0.59,0.61,19,0,0
0,Madeira,19,60,6848,CH,0,0.53,0.55,17,0,0
0,Madeira,19,60,6848,IL,0,0.5,0.51,16,0,0
0,Madeira,19,60,6848,PURP,0,0.38,0.38,12,0,0
0,Madeira,19,60,6848,L,0,0.34,0.35,11,0,0
0,Madeira,19,60,6848,A,0,0.25,0.26,8,0,0
0,Madeira,19,60,6848,PNR,0,0.25,0.26,8,0,0
0,Madeira,19,60,6848,MPT,0,0.22,0.22,7,0,0
0,Madeira,19,60,6848,PPM,0,0.19,0.19,6,0,0
0,Madeira,19,60,6848,PDR,0,0.16,0.16,5,0,0
0,Madeira,19,60,6848,NC,0,0.03,0.03,1,0,0
0,Portalegre,136,139,12730,PS,0,43.66,45.37,3188,2,2
0,Portalegre,136,139,12730,PCP-PEV,0,18.05,18.76,1318,0,0
0,Portalegre,136,139,12730,PPD/PSD,0,16.75,17.4,1223,0,0
0,Portalegre,136,139,12730,B.E.,0,6.74,7,492,0,0
0,Portalegre,136,139,12730,CDS-PP,0,3.08,3.2,225,0,0
0,Portalegre,136,139,12730,CH,0,2.52,2.62,184,0,0
0,Portalegre,136,139,12730,PCTP/MRPP,0,1.84,1.91,134,0,0
0,Portalegre,136,139,12730,PAN,0,1.25,1.3,91,0,0
0,Portalegre,136,139,12730,L,0,0.51,0.53,37,0,0
0,Portalegre,136,139,12730,R.I.R.,0,0.41,0.43,30,0,0
0,Portalegre,136,139,12730,A,0,0.37,0.38,27,0,0
0,Portalegre,136,139,12730,IL,0,0.33,0.34,24,0,0
0,Portalegre,136,139,12730,PURP,0,0.25,0.26,18,0,0
0,Portalegre,136,139,12730,PNR,0,0.21,0.21,15,0,0
0,Portalegre,136,139,12730,MPT,0,0.18,0.19,13,0,0
0,Portalegre,136,139,12730,PDR,0,0.05,0.06,4,0,0
0,Portalegre,136,139,12730,PTP,0,0.05,0.06,4,0,0
0,Porto,223,230,21271,PS,0,42.08,43.79,4861,20,17
0,Porto,223,230,21271,PPD/PSD,0,33.48,34.85,3868,15,15
0,Porto,223,230,21271,B.E.,0,5.67,5.9,655,2,4
0,Porto,223,230,21271,R.I.R.,0,3.35,3.49,387,1,0
0,Porto,223,230,21271,CDS-PP,0,3.33,3.47,385,1,1
0,Porto,223,230,21271,PCP-PEV,0,2.27,2.36,262,1,2
0,Porto,223,230,21271,PAN,0,1.71,1.77,197,0,1
0,Porto,223,230,21271,PCTP/MRPP,0,0.66,0.68,76,0,0
0,Porto,223,230,21271,L,0,0.64,0.67,74,0,0
0,Porto,223,230,21271,CH,0,0.57,0.59,66,0,0
0,Porto,223,230,21271,IL,0,0.49,0.51,57,0,0
0,Porto,223,230,21271,PTP,0,0.27,0.28,31,0,0
0,Porto,223,230,21271,JPP,0,0.23,0.23,26,0,0
0,Porto,223,230,21271,A,0,0.22,0.23,25,0,0
0,Porto,223,230,21271,PDR,0,0.21,0.22,24,0,0
0,Porto,223,230,21271,PNR,0,0.21,0.22,24,0,0
0,Porto,223,230,21271,PURP,0,0.2,0.21,23,0,0
0,Porto,223,230,21271,MPT,0,0.16,0.17,19,0,0
0,Porto,223,230,21271,PPM,0,0.15,0.15,17,0,0
0,Porto,223,230,21271,NC,0,0.11,0.12,13,0,0
0,Porto,223,230,21271,MAS,0,0.09,0.09,10,0,0
0,Santarom,609,495,40414,PS,0,39.72,41.72,9114,5,4
